ID,Type,Name,Sale price,Regular price,Categories,Images,Parent,i,weight
55,variable,Varagu,,,Millets,http://otpindia.in/wp-content/uploads/2022/09/Kodo.jpg,,weight,"1000gm,500gm"
56,variation,Varagu,106,132,,,55,weight,1000gm
57,variation,Varagu,53,66,,,55,weight,500gm
58,variable,Thinai,,,Millets,http://otpindia.in/wp-content/uploads/2022/09/Foxtail-Millet-Thinnai1.jpg,,weight,"1000gm,500gm"
59,variation,Thinai,82,103,,,58,weight,1000gm
60,variation,Thinai,41,51,,,58,weight,500gm
61,variable,Saamai,,,Millets,http://otpindia.in/wp-content/uploads/2022/09/Samai.jpg,,weight,"1000gm,500gm"
62,variation,Saamai,124,155,,,61,weight,1000gm
63,variation,Saamai,62,78,,,61,weight,500gm
64,variable,Kuthirai Vaali (Brown Top),,,Millets,http://otpindia.in/wp-content/uploads/2022/10/kuthval.jpg,,weight,"1000gm,500gm"
65,variation,Kuthirai Vaali (Brown Top),132,165,,,64,weight,1000gm
66,variation,Kuthirai Vaali (Brown Top),66,83,,,64,weight,500gm
67,variable,Kambu,,,Millets,http://otpindia.in/wp-content/uploads/2022/09/kambu.png,,weight,"1000gm,500gm"
68,variation,Kambu,50,63,,,67,weight,1000gm
69,variation,Kambu,25,31,,,67,weight,500gm
70,variable,Nattu Kambu,,,Millets,http://otpindia.in/wp-content/uploads/2022/09/kambu.png,,weight,"1000gm,500gm"
71,variation,Nattu Kambu,87,109,,,70,weight,1000gm
72,variation,Nattu Kambu,44,55,,,70,weight,500gm
73,variable,Cholam,,,Millets,http://otpindia.in/wp-content/uploads/2022/09/corn.jpg,,weight,"1000gm,500gm"
74,variation,Cholam,60,74,,,73,weight,1000gm
75,variation,Cholam,30,38,,,73,weight,500gm
76,variable,Red Cholam,,,Millets,http://otpindia.in/wp-content/uploads/2022/10/red-cho.jpeg,,weight,"1000gm,500gm"
77,variation,Red Cholam,79,99,,,76,weight,1000gm
78,variation,Red Cholam,40,50,,,76,weight,500gm
79,variable,Sweet Cholam Rice,,,Millets,http://otpindia.in/wp-content/uploads/2022/10/sweet-corn.jpg,,weight,"1000gm,500gm"
80,variation,Sweet Cholam Rice,198,248,,,79,weight,1000gm
81,variation,Sweet Cholam Rice,99,124,,,79,weight,500gm
82,variable,Makka Cholam,,,Millets,http://otpindia.in/wp-content/uploads/2022/10/makka-cho.jpg,,weight,"1000gm,500gm"
83,variation,Makka Cholam,46,58,,,82,weight,1000gm
84,variation,Makka Cholam,24,30,,,82,weight,500gm
85,variable,Pani Varagu,,,Millets,http://otpindia.in/wp-content/uploads/2022/10/pani.jpg,,weight,"1000gm,500gm"
86,variation,Pani Varagu,93,116,,,85,weight,1000gm
87,variation,Pani Varagu,46,58,,,85,weight,500gm
88,variable,Kezhvaragu,,,Millets,http://otpindia.in/wp-content/uploads/2022/09/kambu-1.png,,weight,"1000gm,500gm"
89,variation,Kezhvaragu,46,58,,,88,weight,1000gm
90,variation,Kezhvaragu,24,30,,,88,weight,500gm
91,variable,Kollu,,,Millets,http://otpindia.in/wp-content/uploads/2022/10/Kollu.jpg,,weight,"1000gm,500gm"
92,variation,Kollu,99,124,,,91,weight,1000gm
93,variation,Kollu,50,63,,,91,weight,500gm
94,variable,Black Kollu,,,Millets,http://otpindia.in/wp-content/uploads/2022/10/black-kollu.jpg,,weight,"1000gm,500gm"
95,variation,Black Kollu,106,132,,,94,weight,1000gm
96,variation,Black Kollu,53,66,,,94,weight,500gm
97,variable,Red Rice,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/rr.jpg,,weight,"1000gm,500gm"
98,variation,Red Rice,73, 	91 ,,,97,weight,1000gm
99,variation,Red Rice,36, 	45 ,,,97,weight,500gm
100,variable,Kai Kuthal Rice,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/kkr.jpg,,weight,"1000gm,500gm"
101,variation,Kai Kuthal Rice,73, 	91 ,,,100,weight,1000gm
102,variation,Kai Kuthal Rice,37, 	46 ,,,100,weight,500gm
103,variable,Thooya malli Rice,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/tmr.jpg,,weight,"1000gm,500gm"
104,variation,Thooya malli Rice,85, 	106 ,,,103,weight,1000gm
105,variation,Thooya malli Rice,42, 	53 ,,,103,weight,500gm
106,variable,Mysore Malli Rice,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/mmr.png,,weight,"1000gm,500gm"
107,variation,Mysore Malli Rice,87, 	109 ,,,106,weight,1000gm
108,variation,Mysore Malli Rice,44, 	55 ,,,106,weight,500gm
109,variable,Garudan Samba,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/gsr.jpg,,weight,"1000gm,500gm"
110,variation,Garudan Samba,87, 	109 ,,,109,weight,1000gm
111,variation,Garudan Samba,44, 	55 ,,,109,weight,500gm
112,variable,Jeeraga Samba Rice,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/Seeraga-Samba.jpg,,weight,"1000gm,500gm"
113,variation,Jeeraga Samba Rice,119, 	149 ,,,112,weight,1000gm
114,variation,Jeeraga Samba Rice,60, 	74 ,,,112,weight,500gm
115,variable,Kichadi Samba,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/organic-kichili-samba.jpg,,weight,"1000gm,500gm"
116,variation,Kichadi Samba,73, 	91 ,,,115,weight,1000gm
117,variation,Kichadi Samba,37, 	46 ,,,115,weight,500gm
118,variable,Aathur Kichali Samba,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/organic-kichili-samba.jpg,,weight,"1000gm,500gm"
119,variation,Aathur Kichali Samba,86, 	107 ,,,118,weight,1000gm
120,variation,Aathur Kichali Samba,50, 	63 ,,,118,weight,500gm
121,variable,Pulungal Jeeraga Samba,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/seeraga-samba-p.jpg,,weight,"1000gm,500gm"
122,variation,Pulungal Jeeraga Samba,126, 	157 ,,,121,weight,1000gm
123,variation,Pulungal Jeeraga Samba,64, 	79 ,,,121,weight,500gm
124,variable,Organic Idly Rice,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/organic-idli-rice.jpg,,weight,"1000gm,500gm"
125,variation,Organic Idly Rice,66, 	83 ,,,124,weight,1000gm
126,variation,Organic Idly Rice,33, 	41 ,,,124,weight,500gm
127,variable,Mappillai Samba,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/msr.png,,weight,"1000gm,500gm"
128,variation,Mappillai Samba,87, 	109 ,,,127,weight,1000gm
129,variation,Mappillai Samba,44, 	55 ,,,127,weight,500gm
130,variable,Neelam Samba,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/nsr.jpg,,weight,"1000gm,500gm"
131,variation,Neelam Samba,99, 	124 ,,,130,weight,1000gm
132,variation,Neelam Samba,50, 	63 ,,,130,weight,500gm
133,variable,Kothamalli Samba,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/kms.jpg,,weight,"1000gm,500gm"
134,variation,Kothamalli Samba,126, 	157 ,,,133,weight,1000gm
135,variation,Kothamalli Samba,64, 	79 ,,,133,weight,500gm
136,variable,Milagu Samba,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/milagu-samba.jpg,,weight,"1000gm,500gm"
137,variation,Milagu Samba,132, 	165 ,,,136,weight,1000gm
138,variation,Milagu Samba,66, 	83 ,,,136,weight,500gm
139,variable,Surakkuruvai,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/Surakkuruvai.jpg,,weight,"1000gm,500gm"
140,variation,Surakkuruvai,106,132,,,139,weight,1000gm
141,variation,Surakkuruvai,53,66,,,139,weight,500gm
142,variable,Pa.Iluppai Poo Samba,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/Illupai_Poo_Samba_Rice.jpg,,weight,"1000gm,500gm"
143,variation,Pa.Iluppai Poo Samba,185,232,,,142,weight,1000gm
144,variation,Pa.Iluppai Poo Samba,93,116,,,142,weight,500gm
145,variable,Pu.Iluppai Poo samba,,,Tradition Rice,http://otpindia.in/wp-content/uploads/2022/10/Illupai_Poo_Samba_Rice.jpg,,weight,"1000gm,500gm"
